cloudiness,country,dt,humidity,lat,lon,max_temperature,wind_speed
90,CL,1567219794,93,-41.87,-73.83,42.8,5.82
75,JP,1567219794,93,43.11,144.15,66.2,5.82
90,CA,1567219722,100,63.75,-68.52,39.2,11.41
76,NI,1567219794,95,13.33,-85.37,69.28,2.01
55,PH,1567219794,74,10.2,122.99,82.6,8.25
40,GB,1567219531,77,53.66,-1.85,62.01,9.17
20,ES,1567219795,78,27.91,-15.45,71.6,25.28
29,BR,1567219795,88,-3.55,-40.25,69.82,2.95
0,UY,1567219795,52,-33.25,-58.03,50.2,6.08
75,VU,1567219795,74,-15.51,167.18,82.4,9.17
100,RU,1567219796,93,63.05,179.32,48.22,10.56
5,CA,1567219664,88,44.65,-63.58,66.99,6.93
20,PF,1567219796,62,-17.73,-149.15,86,6.93
20,MR,1567219796,83,18.08,-15.98,82.4,9.17
40,MZ,1567219797,100,-15.12,39.26,62.6,5.82
20,CA,1567219797,48,63.59,-135.9,68,8.05
40,PE,1567219504,87,-12.06,-77.04,60.8,9.17
20,ID,1567219671,49,1.49,124.85,89.6,3.36
40,AU,1567219797,49,-28.95,153.24,70,6.93
100,GN,1567219798,99,10.36,-13.58,71.8,1.07
9,NZ,1567219798,74,-35.1,173.78,66,1.01
0,FR,1567219798,82,48.39,5.49,62.6,5.64
0,CN,1567219798,19,39.73,98.49,79,13.33
5,IN,1567219799,82,33.24,75.24,60.28,4.34
0,CL,1567219799,40,-33.73,-70.74,53.6,10.29
1,RU,1567219800,61,71.64,128.87,41.02,7.78
40,AU,1567219800,57,-20.01,148.25,80.01,13.87
0,RU,1567219800,62,48.03,40.04,57.2,2.24
2,RU,1567219801,63,52.06,106.65,66.2,4.38
52,ID,1567219801,69,-9.11,124.89,75.04,12.73
100,UY,1567219801,80,-33.69,-53.46,52.72,8.08
40,MA,1567219801,83,35.17,-2.93,75.2,3.36
87,PE,1567219802,93,-9.08,-78.59,59.74,11.14
71,US,1567219802,81,37.17,-99.65,73,14
60,AU,1567219802,27,-20.74,116.85,84.94,6.29
75,IT,1567219802,83,45.18,8.4,75,8.05
0,CN,1567219802,32,38.52,102.19,68.2,9.75
100,LK,1567219803,56,7.42,81.82,82.78,4.59
5,MG,1567219803,96,-20.24,47.38,47.86,2.44
0,PG,1567219671,72,-3.55,143.63,83.86,8.37
1,US,1567219803,93,46.74,-90.88,60.01,10.38
90,MX,1567219803,94,29.05,-111.04,91,32.21
90,PE,1567219804,88,-7.84,-79.15,62.6,10.29
90,GB,1567219804,87,54.18,-6.35,62.01,10.29
20,US,1567219804,88,32.5,-94.74,78.8,3.36
20,US,1567219804,37,43.66,-110.72,69.8,5.68
100,AO,1567219805,86,-7.61,15.06,66.76,4.88
20,CL,1567219805,99,-45.58,-72.07,42.8,5.82
88,RU,1567219805,78,61.2,62.86,43.72,11.21
90,CO,1567219805,71,4.71,-74.23,57.2,5.82
0,BQ,1567219805,83,12.15,-68.27,82.4,12.75
0,PK,1567219806,55,35.92,74.31,53.44,2.66
48,ML,1567219675,78,13.3,-4.9,77.74,6.22
90,RU,1567219806,100,61.17,73.17,46.4,13.42
13,IN,1567219806,72,28.29,79.8,86.74,4.72
1,US,1567219806,60,34.01,-86.01,75,3.36
0,GR,1567219807,52,37.63,21.5,71.6,6.46
0,CD,1567219733,45,-7.04,29.76,63.52,4.52
40,RU,1567219807,87,69.49,88.39,50,11.18
1,US,1567219621,63,44.02,-92.46,60.8,1.88
12,AU,1567219807,34,-22,148.04,77.2,4.76
27,MX,1567219808,84,18.62,-100.35,73.06,1.9
0,SD,1567219808,57,14.2,24.66,74.5,4.21
75,JP,1567219808,73,33.93,134.5,84.99,4.7
0,DE,1567219808,93,50.91,8.1,64.99,1.12
1,CA,1567219809,41,50.69,-121.94,78.8,14.99
100,EE,1567219809,100,57.91,26.05,55.4,2.24
0,EG,1567219809,23,24.09,32.9,82.6,14.14
96,CA,1567219809,85,50.24,-117.8,60.01,2.89
81,TZ,1567219809,77,-4.97,39.83,76.66,9.1
0,AU,1567219810,30,-32.08,141,66.2,12.75
0,CD,1567219793,45,-7.04,29.76,63.52,4.52
2,ID,1567219810,37,-3.75,103.64,80.44,3.11
7,RU,1567219699,98,56.4,38.71,50.56,2.62
100,RU,1567219810,97,69.38,178.42,40.84,9.8
0,MK,1567219810,62,41.28,20.71,57.2,3.36
100,NO,1567219811,95,71.03,27.85,51.46,5.03
75,NO,1567219811,100,71,24.66,50,5.82
75,PY,1567219811,73,-25.97,-55.19,75.2,2.24
1,CN,1567219811,65,36.62,101.77,54.88,5.88
0,IT,1567219812,88,40.57,9.69,69.8,2.24
0,AU,1567219812,42,-17.27,145.48,88,12.75
84,CF,1567219812,95,5.08,19.88,69.46,0.89
75,JP,1567219812,65,34.68,135.8,86,5.82
0,AU,1567219812,51,-37.84,145.39,66,24.16
40,JP,1567219813,65,34.51,131.49,80.6,11.41
100,MX,1567219813,79,18.03,-95.53,75.58,2.1
100,MG,1567219813,80,-14.27,50.17,63.52,3.94
36,ID,1567219566,74,-0.87,134.08,80.44,6.76
0,FR,1567219813,67,48.95,4.24,59,5.82
36,GB,1567219813,93,60.15,-1.15,53.6,3.36
93,DZ,1567219814,25,27.87,-0.29,89.6,19.46
40,US,1567219814,62,20.89,-156.47,86,23.04
5,BR,1567219814,65,-24.07,-48.35,62.62,1.03
0,GL,1567219815,61,64.17,-51.74,46.4,9.17
0,SA,1567219815,33,17.54,44.22,82.4,6.93
75,JP,1567219815,83,31.65,131.31,73.4,11.41
100,CN,1567219816,83,38.42,77.24,72,3.85
90,CA,1567219609,100,47.66,-52.73,66,9.17
36,GA,1567219816,88,-0.72,8.78,75.4,17.45
75,JP,1567219817,74,35.73,140.83,84.2,3.36
98,PH,1567219817,66,11.63,125.42,86.56,5.61
93,IN,1567219817,64,27.93,96.16,85.84,2.93
74,RU,1567219817,67,42.43,130.64,72.16,11.25
99,CN,1567219817,52,35.07,116.31,80.44,5.03
75,TO,1567219818,60,-19.8,-174.35,73.4,17.22
75,IN,1567219818,94,13.35,74.72,75.2,8.05
100,PH,1567219818,77,15.65,121.13,82.96,6.38
0,GR,1567219818,53,37.98,23.73,79,4.7
4,AT,1567219818,100,48.64,13.53,64,2.24
75,US,1567219819,87,45.55,-92.86,61,1.92
100,CR,1567219633,8,10.63,-85.44,72,11.99
100,LA,1567219819,98,20.02,104.61,69.64,2.48
75,GB,1567219819,93,51.54,-2.41,61,9.17
80,RU,1567219819,62,54.83,99.13,70.36,9.64
90,RU,1567219820,50,63.75,121.63,63.7,3.29
40,MX,1567219820,63,19.99,-101.28,66.2,4.7
20,US,1567219820,43,33.33,-105.67,78.8,10.29
96,ID,1567219821,60,-7.37,108.54,78.1,4.74
40,CA,1567219821,49,54.02,-128.69,69.8,10.29
85,RU,1567219821,55,62.16,117.65,66.58,2.71
50,ET,1567219821,85,4.89,38.09,60.64,7.09
0,SE,1567219822,93,63.83,20.26,57.2,8.05
0,AU,1567219822,51,-13.85,136.42,80.6,9.17
100,RU,1567219822,95,61.94,76.66,49.66,14.56
0,YE,1567219647,51,12.79,45.03,87.28,8.03
87,CA,1567219822,76,49.49,-117.29,55.42,1.01
0,PL,1567219823,68,51.99,20.8,71.01,5.82
54,RU,1567219823,41,62.53,155.8,44.62,6.96
100,NG,1567219823,79,13.06,5.24,77.74,4.61
100,CD,1567219823,98,2.77,27.62,66.22,1.54
0,RU,1567219825,43,44.5,38.13,71.26,19.33
48,ML,1567219579,78,13.3,-4.9,77.74,6.22
35,NG,1567219825,81,10.3,10.93,71.26,4.56
50,CM,1567219825,84,2.94,9.91,78.28,16.17
88,RU,1567219825,83,61.68,64.48,44.8,11.59
20,MN,1567219826,48,47.92,106.92,64.4,5.79
0,BR,1567219767,61,-11.09,-43.14,72.16,8.88
40,PL,1567219826,93,54.79,18.4,64,1.12
12,ID,1567219826,63,-0.9,119.87,83.86,5.95
20,DZ,1567219827,88,36.27,2.77,69.8,0.94
48,ML,1567219579,78,13.3,-4.9,77.74,6.22
61,PK,1567219827,15,29.55,66.02,80.44,3.78
0,NL,1567219828,93,52.89,4.93,64.99,6.93
0,BR,1567219828,84,-21.04,-40.82,64.78,4.12
51,PG,1567219828,68,-3.15,142.36,84.58,8.77
100,CA,1567219828,87,66.15,-65.72,42.28,4.61
99,RU,1567219829,74,65.96,78.37,48.22,17.9
100,BD,1567219829,65,22.34,90.74,88,4.68
17,GH,1567219830,89,9.45,0,72.88,3.15
100,RU,1567219830,95,61.57,31.48,60.82,11.79
75,RU,1567219830,71,64.73,177.51,55.4,8.95
